Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WAT,"Waters Corp",232.01,3.74,+1.64%,232.05,225.82,562500,11/30/20
WBA,"Walgreens Boots Alliance",38.01,-0.99,-2.54%,39.1,37.89,13855900,11/30/20
WDC,"Western Digital Cp",44.88,-0.97,-2.12%,46.54,44.74,4834100,11/30/20
WEC,"Wisconsin Energy Corp",94.95,-0.79,-0.83%,95.46,94.13,3320200,11/30/20
WELL,"Welltower Inc",62.98,-1.56,-2.42%,64.96,62.96,3714300,11/30/20
WFC,"Wells Fargo & Company",27.35,-1.11,-3.90%,28.56,27.28,48176199,11/30/20
WHR,"Whirlpool Corp",194.61,-6.35,-3.16%,199.8,192.59,710000,11/30/20
WLTW,"Willis Towers WT",208.19,-1.36,-0.65%,211.48,207.23,1083700,11/30/20
WM,"Waste Management",119.13,-0.06,-0.05%,119.88,118.29,1566600,11/30/20
WMB,"Williams Companies",20.98,-0.48,-2.24%,21.61,20.87,11549000,11/30/20
WMT,"Wal-Mart Stores",152.79,1.19,+0.78%,152.95,150.1,10892199,11/30/20
WRB,"W.R. Berkley Corp",65.13,0.72,+1.12%,65.16,63.12,10657200,11/30/20
WRK,"Westrock Company",42.21,-1.85,-4.20%,43.71,42.14,2610700,11/30/20
WST,"West Pharmaceutical Services",275.16,-2.8,-1.01%,280.5,271.87,775300,11/30/20
WU,"Western Union Company",22.56,0.04,+0.18%,22.62,22.23,7678100,11/30/20
WY,"Weyerhaeuser Company",29.04,0.33,+1.15%,29.06,28.25,6034700,11/30/20
WYNN,"Wynn Resorts Ltd",100.5,-0.72,-0.71%,101.66,97.23,3070900,11/30/20
XEL,"XCEL Energy Inc",67.36,-0.26,-0.38%,67.97,67,6760300,11/30/20
XLNX,"Xilinx Inc",145.55,8.06,+5.86%,145.84,136.65,4899900,11/30/20
XOM,"Exxon Mobil Corp",38.13,-2.06,-5.13%,39.88,37.97,45592004,11/30/20
XRAY,"Dentsply Sirona Inc",50.89,-0.77,-1.49%,51.99,50.72,1527600,11/30/20
XRX,"Xerox Corp",21.89,-1.33,-5.73%,23.08,21.79,3263500,11/30/20
XYL,"Xylem Inc",95.97,-1.17,-1.20%,97.12,95.06,1498800,11/30/20
YUM,"Yum! Brands",105.8,-1.38,-1.29%,106.49,105.01,2902700,11/30/20
ZBH,"Zimmer Biomet Holdings",149.12,-0.9,-0.60%,151.46,148.73,880200,11/30/20
ZBRA,"Zebra Technologies",378.42,1.42,+0.38%,380.22,369.01,603300,11/30/20
ZION,"Zions Bancorp",38.59,-0.87,-2.20%,39.8,38.44,12464100,11/30/20
ZTS,"Zoetis Inc Cl A",160.38,-1.09,-0.68%,162.48,159.65,4533900,11/30/20
"Downloaded from Barchart.com as of 11-30-2020 07:35pm CST"
