Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
IVZ,"Invesco Plc",16.23,+8.95,-9.73%,+23.80%,+51.26%,-7.57%
J,"Jacobs Engineering Group Inc",107.84,+41.51,+20.05%,+13.52%,+20.55%,+17.10%
JBHT,"J B Hunt Transport",135.28,+23.24,+15.84%,+11.12%,-4.56%,+17.00%
JCI,"Johnson Controls Intl",46.04,+29.17,+13.09%,+9.07%,+11.48%,+7.49%
JKHY,"Jack Henry & Assoc",160.86,+3.12,+10.43%,+8.51%,-3.95%,+5.87%
JNJ,"Johnson & Johnson",144.68,+2.00,-0.82%,+5.52%,-5.83%,+5.23%
JNPR,"Juniper Networks",21.77,-9.39,-11.61%,+10.40%,-9.52%,-13.13%
JPM,"JP Morgan Chase & Company",117.88,-2.40,-15.44%,+20.24%,+14.70%,-10.53%
K,"Kellogg Company",63.91,-4.05,-7.59%,+1.62%,-9.40%,-1.86%
KEY,Keycorp,15.46,-9.11,-23.62%,+19.11%,+21.06%,-20.27%
KEYS,"Keysight Technologies Inc Comm",120.04,+26.18,+16.96%,+14.47%,+23.33%,+12.16%
KHC,"Kraft Heinz Company",32.94,+9.50,+2.52%,+7.68%,-5.56%,+8.00%
KIM,"Kimco Realty Corp",14.44,-44.27,-30.28%,+40.74%,+19.64%,-33.21%
KLAC,"K L A-Tencor Corp",251.97,+65.06,+41.42%,+27.79%,+20.79%,+53.77%
KMB,"Kimberly-Clark Corp",139.31,-0.22,+1.28%,+5.07%,-10.98%,+2.18%
KMI,"Kinder Morgan",14.38,-19.19,-32.07%,+20.84%,+1.41%,-26.67%
KMX,"Carmax Inc",93.48,+0.77,+6.63%,+8.14%,-12.84%,-3.89%
KO,"Coca-Cola Company",51.6,+0.77,-6.78%,+7.37%,+3.55%,-3.37%
KR,"Kroger Company",33,+15.62,+13.83%,+2.45%,-6.52%,+20.70%
KSU,"Kansas City Southern",186.17,+27.15,+21.55%,+5.69%,+1.04%,+22.14%
L,"Loews Corp",41.91,-6.08,-20.16%,+20.85%,+13.52%,-17.66%
LB,"L Brands Inc",38.81,+166.96,+114.18%,+21.24%,+30.81%,+102.77%
LDOS,"Leidos Holdings Inc",100.7,+6.16,+2.87%,+21.33%,+10.28%,+10.85%
LEG,"Leggett & Platt Inc",43.1,-7.26,-15.21%,+3.28%,+3.88%,-17.62%
LEN,"Lennar Corp",75.86,+40.24,+35.97%,+8.02%,-0.09%,+27.18%
LH,"Laboratory Corp of America Holdings",199.84,+26.06,+18.13%,+0.04%,+12.64%,+15.99%
LHX,"L3Harris Technologies Inc",191.99,+2.22,-2.97%,+19.17%,+6.73%,-4.53%
LIN,"Linde Plc",256.42,+30.47,+20.44%,+16.37%,+1.12%,+24.35%
LKQ,"LKQ Corp",35.22,+16.87,-1.34%,+10.10%,+7.97%,-0.17%
LLY,"Eli Lilly and Company",145.65,+13.99,+10.82%,+11.64%,-1.15%,+24.12%
LMT,"Lockheed Martin Corp",365,-6.19,-6.26%,+4.25%,-7.73%,-6.66%
LNC,"Lincoln National Corp",47.22,-12.54,-19.98%,+34.53%,+26.29%,-20.03%
